model_name,family,selected_threshold,validation_auc,test_auc,test_pr_auc,test_f1,test_precision,test_recall,train_seconds
hist_gradient_boosting,HistGradientBoostingClassifier,0.5,0.9928392444190461,0.9999321511699818,0.997849385204436,0.9969135802469136,1.0,0.9938461538461538,0.7903
random_forest,RandomForestClassifier,0.5,0.9994876629609077,0.9998431740748653,0.9975016124891384,0.9953775038520801,0.9969135802469136,0.9938461538461538,15.7268
xgboost,XGBClassifier,0.5,0.9994133545353906,0.9983827150776428,0.9970017406400512,0.993103448275862,0.9893129770992366,0.9969230769230769,8.1904
logistic_regression,LogisticRegression,0.7,0.9894848976752275,0.9963643641842734,0.8844123778149597,0.4857477547832878,0.32548403976975404,0.9569230769230769,3.0148
dummy_prior,DummyClassifier,0.5,0.5,0.5,0.009412105415580654,0.0,0.0,0.0,0.0159
