model_name,family,selected_threshold,validation_auc,test_auc,test_pr_auc,test_f1,test_precision,test_recall,train_seconds
hist_gradient_boosting,HistGradientBoostingClassifier,0.5,1.0,0.9999158815612382,0.9928571428571428,0.9230769230769231,1.0,0.8571428571428571,0.1971
random_forest,RandomForestClassifier,0.5,1.0,0.9993871370890214,0.9769439421338154,0.9473684210526315,0.9310344827586207,0.9642857142857143,0.3678
xgboost,XGBClassifier,0.5,1.0,0.9984137665833493,0.9705357142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.8642
logistic_regression,LogisticRegression,0.7,0.9863985313751669,0.9612093828109979,0.76447213629373,0.37681159420289856,0.23636363636363636,0.9285714285714286,0.071
dummy_prior,DummyClassifier,0.5,0.5,0.5,0.009333333333333334,0.0,0.0,0.0,0.0011
